#,id,parent_id,name,knowledge,num_q
109,507,1,堆,堆,110
110,508,1,字符流,字符流,111
111,509,1,字节流,字节流,112
112,510,1,中国特殊符号,中国特殊符号,113
113,511,1,方法头,方法头,114
114,512,1,Java UDP 编程,Java UDP 编程,115
115,513,1,对象类型,对象类型,116
116,514,1,package和import,package和import,117
117,515,1,Docx解析,Docx解析,118
118,516,1,Java定时任务执行,Java定时任务执行,119
119,517,1,抽象类和抽象方法,抽象类和抽象方法,120
120,518,1,return,return,121
121,519,1,final,final,122
122,520,1,super,super,123
123,521,1,类,类,124
124,522,1,字符集,字符集,125
125,523,1,文件系统及Java文件基本操作,文件系统及Java文件基本操作,126
126,524,1,程序编写,程序编写,127
127,525,1,顺序结构,顺序结构,128
128,526,1,大整数加法,大整数加法,129
129,527,1,输入输出Scanner,输入输出Scanner,130
130,528,1,字符转换,字符转换,131
131,529,1,浮点数,浮点数,132
132,530,1,数字反转,数字反转,133
133,531,1,分支结构,分支结构,134
134,532,1,数字排序,数字排序,135
135,533,1,函数与结构体,函数与结构体,136
136,534,1,模拟,模拟,137
137,535,1,递归,递归,138
138,536,1,质数,质数,139
139,537,1,搜索,搜索,140
140,538,1,排列组合,排列组合,141
141,539,1,素数,素数,142
142,540,1,枚举,枚举,143
143,541,1,排序,排序,144
144,542,1,进制,进制,145
145,543,1,循环结构,循环结构,146
146,544,1,位运算,位运算,10
147,545,1,按值传递,按值传递,10
148,546,1,变量初始化,变量初始化,10
149,547,1,变量类型,变量类型,10
150,548,1,哈希表,哈希表,10
151,549,1,前缀和,前缀和,10
152,550,1,并查集,并查集,10
153,551,1,链表,链表,10
154,552,1,矩阵,矩阵,10
155,553,1,双向链表,双向链表,10
156,554,1,一维动态规划,一维动态规划,10
157,555,1,克隆,克隆,10
158,556,1,多维动态规划,多维动态规划,10
159,557,1,Java源文件,Java源文件,10
160,558,1,面向对象编程,面向对象编程,10
161,559,1,默认值,默认值,10
162,560,1,数学,数学,10
163,561,1,类型转换,类型转换,10
164,562,1,贪心,贪心,10
165,563,1,计数,计数,10
166,564,1,设计,设计,10
167,565,1,逻辑运算符,逻辑运算符,10
168,566,1,引用传递,引用传递,10
169,567,1,引用,引用,10
170,568,1,双指针,双指针,10
171,569,1,静态变量,静态变量,10
172,570,1,方法调用,方法调用,10
173,571,1,堆栈,堆栈,10
174,572,1,Kadane 算法,Kadane 算法,10
175,573,1,滑动窗口,滑动窗口,10
176,574,1,数组初始化,数组初始化,10
177,575,1,分治,分治,10
178,576,1,动态规划,动态规划,10
179,577,1,二分查找,二分查找,10
180,578,1,运算符优先级,运算符优先级,10
181,579,1,ASCLL码,ASCLL码,10
182,580,1,编译与运行,编译与运行,10
183,581,1,栈,栈,10
184,582,1,布尔值,布尔值,10
