problem_id,problem_text,skill_name,choiceA,choiceB,choiceC,choiceD,answer,"level(0,1,2)(表示三个难度等级"
,"# 【深基2.习2】三角形面积

## 题目描述

一个三角形的三边长分别是 $a$、$b$、$c$，那么它的面积为 $\sqrt{p(p-a)(p-b)(p-c)}$，其中 $p=\frac{1}{2}(a+b+c)$。输入这三个数字，计算三角形的面积，四舍五入精确到 $1$ 位小数。

## 输入格式

第一行输入三个实数 $a,b,c$，以空格隔开。

## 输出格式

输出一个实数，表示三角形面积。精确到小数点后 $1$ 位。

## 样例 #1

### 样例输入 #1

```
3 4 5
```

### 样例输出 #1

```
6.0
```

## 提示

数据保证能构成三角形，$0\leq a,b,c\leq 1000$，每个边长输入时不超过 $2$ 位小数。","浮点数,顺序结构",,,,,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        double a = scanner.nextDouble(); // 边长a
        double b = scanner.nextDouble(); // 边长b
        double c = scanner.nextDouble(); // 边长c

        double p = (a + b + c) / 2; // 半周长
        double area = Math.sqrt(p * (p - a) * (p - b) * (p - c)); // 海伦公式计算面积

        System.out.printf(""%.1f%n"", area);
    }
}
",1
,"# 【深基2.例12】上学迟到

## 题目描述

学校和 yyy 的家之间的距离为 $s$ 米，而 yyy 以 $v$ 米每分钟的速度匀速走向学校。

在上学的路上，yyy 还要额外花费 $10$ 分钟的时间进行垃圾分类。

学校要求必须在上午 $\textrm{8:00}$  到达，请计算在不迟到的前提下，yyy 最晚能什么时候出门。

由于路途遥远，yyy 可能不得不提前一点出发，但是提前的时间不会超过一天。

## 输入格式

一行两个正整数 $s,v$，分别代表路程和速度。

## 输出格式

输出一个 $24$ 小时制下的时间，代表 yyy 最晚的出发时间。

输出格式为 $\texttt{HH:MM}$，分别代表该时间的时和分。必须输出两位，不足前面补 $0$。

## 样例 #1

### 样例输入 #1

```
100 99
```

### 样例输出 #1

```
07:48
```

## 提示

对于 $100\%$ 的数据，$1 \le s,v \le 10^4$。","顺序结构,字符串",,,,,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        double s = scanner.nextDouble(); // 路程
        double v = scanner.nextDouble(); // 速度

        int n = 8 * 60 + 24 * 60; // 两天总共的分钟数
        int t = (int) Math.ceil(s / v) + 10; // 向上取整，加上垃圾分类的时间

        n = n - t; // 得出剩下的时间
        if (n >= 24 * 60) {
            n -= 24 * 60; // 判断是否在前一天
        }

        int b = n % 60; // 得出出发分
        int a = n / 60; // 得出出发时

        if (a < 10) { // 判断是否补0
            if (b < 10) {
                System.out.println(""0"" + a + "":0"" + b);
            } else {
                System.out.println(""0"" + a + "":"" + b);
            }
        } else {
            if (b < 10) {
                System.out.println(a + "":0"" + b);
            } else {
                System.out.println(a + "":"" + b);
            }
        }
    }
}
",2
,"# 大象喝水

## 题目描述

一只大象口渴了，要喝 $20$ 升水才能解渴，但现在只有一个深 $h$ 厘米，底面半径为 $r$ 厘米的小圆桶 （$h$ 和 $r$ 都是整数）。问大象至少要喝多少桶水才会解渴。

**Update：数据更新，这里我们近似地取圆周率 $\pi = 3.14$。**

## 输入格式

输入有一行：包行两个整数，以一个空格分开，分别表示小圆桶的深 $h$ 和底面半径 $r$，单位都是厘米。

## 输出格式

输出一行，包含一个整数，表示大象至少要喝水的桶数。

## 样例 #1

### 样例输入 #1

```
23 11
```

### 样例输出 #1

```
3
```

## 提示

### 数据规模与约定
对于全部的测试点，保证 $1 \leq h \leq 500$，$1 \leq r \leq 100$。","顺序结构,字符串",,,,,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int h = scanner.nextInt(); // 桶的深度
        int r = scanner.nextInt(); // 桶的底面半径

        double pi = 3.14; // 圆周率的近似值
        int waterNeeded = 20000; // 大象需要的水量

        // 计算至少需要喝水的桶数，向上取整
        int bucketsNeeded = (int) Math.ceil(waterNeeded / (pi * r * r * h));

        System.out.println(bucketsNeeded);
    }
}
",1
,"# 小鱼的游泳时间

## 题目描述

伦敦奥运会要到了，小鱼在拼命练习游泳准备参加游泳比赛，可怜的小鱼并不知道鱼类是不能参加人类的奥运会的。

这一天，小鱼给自己的游泳时间做了精确的计时（本题中的计时都按 $24$ 小时制计算），它发现自己从 $a$ 时 $b$ 分一直游泳到当天的 $c$ 时 $d$ 分，请你帮小鱼计算一下，它这天一共游了多少时间呢？

小鱼游的好辛苦呀，你可不要算错了哦。

## 输入格式

一行内输入四个整数，以空格隔开，分别表示题目中的 $a, b, c, d$。

## 输出格式

一行内输出两个整数 $e$ 和 $f$，用空格间隔，依次表示小鱼这天一共游了多少小时多少分钟。其中表示分钟的整数 $f$ 应该小于 $60$。

## 样例 #1

### 样例输入 #1

```
12 50 19 10
```

### 样例输出 #1

```
6 20
```

## 提示

对于全部测试数据，$0\le a,c \le 24$，$0\le b,d \le 60$，且结束时间一定晚于开始时间。",顺序结构,,,,,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int a = scanner.nextInt(); // 开始时间的小时数
        int b = scanner.nextInt(); // 开始时间的分钟数
        int c = scanner.nextInt(); // 结束时间的小时数
        int d = scanner.nextInt(); // 结束时间的分钟数

        int totalHours = c - a; // 总小时数
        int totalMinutes = d - b; // 总分钟数

        // 如果总分钟数小于0，则减去60分钟并加1小时
        if (totalMinutes < 0) {
            totalMinutes += 60;
            totalHours--;
        }

        System.out.println(totalHours + "" "" + totalMinutes);
    }
}
",1
,"# 小玉买文具

## 题目描述

班主任给小玉一个任务，到文具店里买尽量多的签字笔。已知一只签字笔的价格是 $1$ 元 $9$ 角，而班主任给小玉的钱是 $a$ 元 $b$ 角，小玉想知道，她最多能买多少只签字笔呢。

## 输入格式

输入只有一行两个整数，分别表示 $a$ 和 $b$。

## 输出格式

输出一行一个整数，表示小玉最多能买多少只签字笔。

## 样例 #1

### 样例输入 #1

```
10 3
```

### 样例输出 #1

```
5
```

## 提示

#### 数据规模与约定

对于全部的测试点，保证 $0 \leq a \leq 10^4$，$0 \leq b \leq 9$。","顺序结构,浮点数",,,,,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int a = scanner.nextInt(); // 元
        int b = scanner.nextInt(); // 角

        // 计算总金额
        double totalMoney = a + b / 10.0;

        // 计算签字笔的价格
        double penPrice = 1.9;

        // 计算最多能买多少只签字笔
        int maxPens = (int) Math.floor(totalMoney / penPrice);

        System.out.println(maxPens);
    }
}
",1
,"## 题目背景

NOIP2017 普及组 T1

## 题目描述

牛牛最近学习了 C++ 入门课程，这门课程的总成绩计算方法是：

$$
\text{总成绩}=\text{作业成绩}\times 20\%+\text{小测成绩}×30\%+\text{期末考试成绩} \times 50\%
$$

牛牛想知道，这门课程自己最终能得到多少分。

## 输入格式

三个非负整数 $A,B,C$，分别表示牛牛的作业成绩、小测成绩和期末考试成绩。相邻两个数之间用一个空格隔开，三项成绩满分都是 $100$ 分。

## 输出格式

一个整数，即牛牛这门课程的总成绩，满分也是 $100$ 分。

## 样例 #1

### 样例输入 #1

```
100 100 80
```

### 样例输出 #1

```
90
```

## 样例 #2

### 样例输入 #2

```
60 90 80
```

### 样例输出 #2

```
79
```

## 提示

**样例 1 说明**

牛牛的作业成绩是 $100$ 分，小测成绩是 $100$ 分，期末考试成绩是 $80$ 分，总成绩是 $100 \times 20\%+100 \times 30\%+80 \times 50\%=20+30+40=90$。

**样例 2 说明**

牛牛的作业成绩是 $60$ 分，小测成绩是 $90$ 分，期末考试成绩是 $80$ 分，总成绩是 $60 \times 20\%+90 \times 30\%+80 \times 50\%=12+27+40=79$。

**数据说明**

对于 $30\%$ 的数据，$A=B=0$。

对于另外 $30\%$ 的数据，$A=B=100$。

对于 $100\%$ 的数据，$0≤A,B,C≤100$ 且 $A,B,C$ 都是 $10$ 的整数倍。","顺序结构,整数",,,,,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int A = scanner.nextInt(); // 作业成绩
        int B = scanner.nextInt(); // 小测成绩
        int C = scanner.nextInt(); // 期末考试成绩

        // 计算总成绩
        int totalScore = (A * 20 + B * 30 + C * 50) / 100;

        System.out.println(totalScore);
    }
}
",0
,"# 【深基2.习6】Apples Prologue / 苹果和虫子

## 题目描述

小 B 喜欢吃苹果。她现在有 $m$（$1 \le m \le 100$）个苹果，吃完一个苹果需要花费 $t$（$0 \le t \le 100$）分钟，吃完一个后立刻开始吃下一个。现在时间过去了 $s$（$1 \le s \le 10000$）分钟，请问她还有几个完整的苹果？

## 输入格式

输入三个**非负整数**表示 $m, t, s$。

## 输出格式

输出一个整数表示答案。

## 样例 #1

### 样例输入 #1

```
50 10 200
```

### 样例输出 #1

```
30
```

## 提示

如果你出现了 RE，不如检查一下被零除？",分支结构,,,,,"import java.util.Scanner;
 
public class Main {
 public static void main(String[] args) {
  Scanner sc = new Scanner(System.in);
  int a = sc.nextInt();
  float b = sc.nextFloat();
  int c = sc.nextInt();
  if (b == 0) {
   b = a;
   a = 0;
   if(c == 0)
    a = (int)b;
  } else {
   a -= Math.ceil(c / b);
   if (a < 0)
    a = 0;
  }
   System.out.println(a);
 }
}",1
,"# 【深基3.例2】数的性质

## 题目描述

一些整数可能拥有以下的性质：

- 性质 1：是偶数；
- 性质 2：大于 $4$ 且不大于 $12$。

小 A 喜欢这两个性质同时成立的整数；Uim 喜欢这至少符合其中一种性质的整数；小 B 喜欢刚好有符合其中一个性质的整数；正妹喜欢不符合这两个性质的整数。现在给出一个整数 $x$，请问他们是否喜欢这个整数？

## 输入格式

输入一个整数 $x(0\le x \le 1000)$

## 输出格式

输出这 $4$ 个人是否喜欢这个数字，如果喜欢则输出 `1`，否则输出 `0`，用空格分隔。输出顺序为：小 A、Uim、小 B、正妹。

## 样例 #1

### 样例输入 #1

```
12
```

### 样例输出 #1

```
1 1 0 0
```","分支结构,整数",,,,,"import java.util.Scanner;
 
public class Main {
 public static void main(String[] args) {
  Scanner sc = new Scanner(System.in);
  int x[] = new int[4];//x数组分别表示四个人
  x[0] = x[1] = 0;
  x[2] = 1;
  x[3] = 2;
  int a = sc.nextInt();
  if ((a%2) == 0) {
   x[0] += 1;
   x[1] += 2;
   x[2] += 3;
   x[3]  = 0;
  }
  if(a>4 && a<=12) {
   x[0] += 1;
   x[1] += 2;
   x[2] += 3;
   x[3]  = 0;
  }
  for(int i = 0;i<x.length;i++) {
   if(x[i] == 2 || x[i] == 4)
    x[i] = 1;
   else
    x[i] = 0;
   System.out.printf(""%d "",x[i]);
  }
  
 }
}",1
,"# 【深基3.例3】闰年判断

## 题目描述

输入一个年份，判断这一年是否是闰年，如果是输出 $1$，否则输出 $0$。

$1582$ 年以来，闰年的定义：

普通闰年：公历年份是 $4$ 的倍数，且不是 $100$ 的倍数的，为闰年（如 $2004$ 年、$2020$ 年等就是闰年）。

世纪闰年：公历年份是整百数的，必须是 $400$ 的倍数才是闰年（如 $1900$ 年不是闰年，$2000$ 年是闰年）。

## 输入格式

输入一个正整数 $n$，表示年份。

## 输出格式

输出一行。如果输入的年份是闰年则输出 $1$，否则输出 $0$。

## 样例 #1

### 样例输入 #1

```
1926
```

### 样例输出 #1

```
0
```

## 样例 #2

### 样例输入 #2

```
1900
```

### 样例输出 #2

```
0
```

## 样例 #3

### 样例输入 #3

```
2000
```

### 样例输出 #3

```
1
```

## 样例 #4

### 样例输入 #4

```
1996
```

### 样例输出 #4

```
1
```

## 提示

数据保证，$1582 \leq n \leq 2020$ 且年份为自然数。",分支结构,,,,,"import java.util.Scanner;
 
public class Main {
 public static void main(String[] args) {
  Scanner sc = new Scanner(System.in);
  int a = sc.nextInt();
  if (((a % 4 == 0) && (a % 100 != 0)) || a % 400 == 0)
   System.out.println(1);
  else
   System.out.println(0);
 }
}",1
,"# 【深基3.例4】Apples

## 题目描述

小 B 喜欢吃苹果。她今天吃掉了 $x$ 个苹果。英语课上学到了 apple 这个词语，想用它来造句。如果她吃了 1 个苹果，就输出 `Today, I ate 1 apple.`；如果她没有吃，那么就把 1 换成 0；如果她吃了不止一个苹果，别忘了 `apple` 这个单词后面要加上代表复数的 `s`。你能帮她完成这个句子吗？

## 输入格式

输入一行一个自然数 $x$，表示吃掉的苹果数。

## 输出格式

根据题目要求输出。

## 样例 #1

### 样例输入 #1

```
1
```

### 样例输出 #1

```
Today, I ate 1 apple.
```

## 样例 #2

### 样例输入 #2

```
3
```

### 样例输出 #2

```
Today, I ate 3 apples.
```

## 提示

对于所有数据，$0\le x \le 100$。","分支结构,字符串",,,,,"import java.util.Scanner;
 
public class Main {
 public static void main(String[] args) {
  Scanner sc = new Scanner(System.in);
  int a = sc.nextInt();
  if(a <= 1)
   System.out.printf(""Today, I ate %d apple."",a);
  else
   System.out.printf(""Today, I ate %d apples."",a);
 }
}",1
,"# 【深基3.例5】洛谷团队系统

## 题目描述

在洛谷上使用团队系统非常方便的添加自己的题目。如果在自己的电脑上配置题目和测试数据，每题需要花费时间 $5$ 分钟；而在洛谷团队中上传私有题目，每题只需要花费 $3$ 分钟，但是上传题目之前还需要一次性花费 $11$ 分钟创建与配置团队。现在要配置 $n$ 道题目，如果本地配置花费的总时间短，请输出 `Local`，否则输出 `Luogu`。

## 输入格式

输入一个正整数 $n$，表示需要配置的题目量。

## 输出格式

输出一行，一个字符串。如果本地配置花费的总时间短，请输出 `Local`，否则输出 `Luogu`。

## 样例 #1

### 样例输入 #1

```
2
```

### 样例输出 #1

```
Local
```

## 样例 #2

### 样例输入 #2

```
50
```

### 样例输出 #2

```
Luogu
```

## 提示

数据保证 $1 \leq n\leq 100$。","分支结构,字符串",,,,,"import java.util.Scanner;
 
public class Main {
 public static void main(String[] args) {
  Scanner sc = new Scanner(System.in);
  int a = sc.nextInt();
  int b = a*5;
  int c = 11 + a*3;
  String d;
  d = b<c?""Local"":""Luogu"";
  System.out.println(d);
 }
}",1
